Header,Value,Total Count,Total Percentage,Count in target salary,Percentage in target salary
CLAVIVP,8,560,0.013942046,138,0.021019667
CLAVIVP,9,1725,0.042946482,265,0.040363853
PAREDES,1,10827,0.269554529,1830,0.278739064
PAREDES,2,5040,0.125478418,997,0.151859479
PAREDES,3,38947,0.969644431,5844,0.890137207
PAREDES,4,19927,0.496112783,2535,0.386122146
PAREDES,5,22209,0.552926622,2609,0.397393561
TECHOS,1,6077,0.1512961,952,0.14500524
TECHOS,2,46977,1.169563417,7600,1.157604855
TECHOS,3,1039478,25.8793759,153327,23.35422099
PISOS,1,299725,7.462106887,34802,5.300916336
COCINA,3,310380,7.727379216,54011,8.226762606
TOTCUART,1,329491,8.203176446,60852,9.268759291
TOTCUART,2,814897,20.28809247,140266,21.36481612
LUG_COC,6,84185,2.095912814,14361,2.187416226
COMBUSTIBLE,1,1344324,33.46897783,175856,26.7857578
ESTUFA,3,1007753,25.08953408,132628,20.20142324
ELECTRICIDAD,9,1129,0.028108161,34,0.005178759
AGUA_ENTUBADA,2,1429822,35.59757976,235127,35.81370482
AGUA_ENTUBADA,3,283124,7.048799901,39775,6.058385933
SERSAN,3,157482,3.920752412,22146,3.37319962
CONAGUA,3,451503,11.2408496,52110,7.937209076
DRENAJE,3,63011,1.568754081,9504,1.447615334
DRENAJE,4,20170,0.502162635,3491,0.531736651
DRENAJE,5,494972,12.32307605,59685,9.09100602
DESTINO_BAS,3,942467,23.46414043,117179,17.84828674
DESTINO_BAS,4,33675,0.838390022,3744,0.570272707
DESTINO_BAS,6,38679,0.962972165,4748,0.723198401
REFRIGERADOR,2,980525,24.41165187,138011,21.02134258
TENENCIA,4,36495,0.908598184,7507,1.143439427
